ID,StudentName,First5Attendance,First10Attendance,First15Attendance,Change5to10,Change10to15,Present15,Absent15,ConsecutiveAbsences,AttendanceTrend,FinalAttendance,Target
1,Ayesha Ali,60.0,60.0,60.0,0.0,0.0,9,6,1,Stable,63.63636363636363,0
2,Umar Chaudhry,40.0,50.0,66.66666666666666,10.0,16.666666666666657,10,5,0,Improving,63.63636363636363,0
3,Abdullah Sheikh,80.0,90.0,86.66666666666667,10.0,-3.3333333333333286,13,2,1,Stable,72.72727272727273,1
4,Hamza Ali,40.0,40.0,33.33333333333333,0.0,-6.666666666666671,5,10,0,Declining,31.818181818181817,0
5,Fatima Aslam,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,81.81818181818183,1
6,Ahmed Qureshi,40.0,60.0,66.66666666666666,20.0,6.666666666666657,10,5,0,Improving,63.63636363636363,0
7,Huzaifa Khan,80.0,80.0,73.33333333333333,0.0,-6.666666666666671,11,4,2,Declining,59.09090909090909,0
8,Umar Ahmed,40.0,30.0,33.33333333333333,-10.0,3.3333333333333286,5,10,0,Stable,31.818181818181817,0
9,Bilal Sheikh,40.0,40.0,60.0,0.0,20.0,9,6,0,Improving,59.09090909090909,0
10,Ibrahim Shah,100.0,80.0,86.66666666666667,-20.0,6.666666666666671,13,2,0,Improving,81.81818181818183,1
11,Umar Aslam,100.0,60.0,46.666666666666664,-40.0,-13.333333333333336,7,8,1,Declining,45.45454545454545,0
12,Bilal Aslam,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,1,Stable,59.09090909090909,0
13,Huzaifa Sheikh,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,1,Stable,77.27272727272727,1
14,Fahad Qureshi,40.0,50.0,60.0,10.0,10.0,9,6,0,Improving,59.09090909090909,0
15,Ahsan Alam,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,90.9090909090909,1
16,Hira Malik,0.0,20.0,40.0,20.0,20.0,6,9,0,Improving,36.36363636363637,0
17,Zainab Javed,60.0,50.0,46.666666666666664,-10.0,-3.3333333333333357,7,8,2,Stable,50.0,0
18,Saad Chaudhry,60.0,70.0,80.0,10.0,10.0,12,3,0,Improving,81.81818181818183,1
19,Hamza Butt,20.0,30.0,40.0,10.0,10.0,6,9,1,Improving,45.45454545454545,0
20,Hira Hussain,20.0,20.0,46.666666666666664,0.0,26.666666666666664,7,8,0,Improving,54.54545454545454,0
21,Hassan Ahmed,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,77.27272727272727,1
22,Haris Ali,60.0,60.0,66.66666666666666,0.0,6.666666666666657,10,5,0,Improving,63.63636363636363,0
23,Talha Akram,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,100.0,1
24,Taha Chaudhry,40.0,60.0,60.0,20.0,0.0,9,6,0,Stable,68.18181818181817,1
25,Sana Khan,60.0,70.0,73.33333333333333,10.0,3.3333333333333286,11,4,0,Stable,72.72727272727273,1
26,Maryam Nawaz,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,86.36363636363636,1
